sample_file_name	sample_name
1227814.3.RefSeq.faa	Escherichia coli O08
285575.7.RefSeq.faa	Streptomyces griseus subsp. rhodochrous
1412559.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120677
1412558.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120968
1412557.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121542
1412556.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120496
1412555.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121765
1412554.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121744
1412553.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120697
1412552.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120469
1412551.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121753
1412550.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120722
1005041.3.RefSeq.faa	Streptococcus suis SS12
697329.24.RefSeq.faa	Ruminococcus albus 7 = DSM 20455
1005042.3.RefSeq.faa	Streptococcus suis D9
888745.3.RefSeq.faa	Streptococcus agalactiae ATCC 13813
998087.5.RefSeq.faa	Lactococcus garvieae 21881
1422149.3.RefSeq.faa	Staphylococcus aureus DAR3616
1422148.3.RefSeq.faa	Staphylococcus aureus DAR3613
1422147.3.RefSeq.faa	Staphylococcus aureus DAR3612
1422146.3.RefSeq.faa	Staphylococcus aureus DAR3609
1422145.3.RefSeq.faa	Staphylococcus aureus DAR3608
1422144.3.RefSeq.faa	Staphylococcus aureus DAR3599
998088.4.RefSeq.faa	Aeromonas veronii B565
1422142.3.RefSeq.faa	Staphylococcus aureus DAR3592
1422141.3.RefSeq.faa	Staphylococcus aureus DAR3591
1422140.3.RefSeq.faa	Staphylococcus aureus DAR3590
1306401.3.RefSeq.faa	Mycobacterium abscessus subsp. bolletii CRM-0020
1132507.4.RefSeq.faa	Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12
1224139.3.RefSeq.faa	Vibrio shiloi A203
981329.3.RefSeq.faa	Acinetobacter baumannii W7282
981328.3.RefSeq.faa	Acinetobacter baumannii W6976
1163671.3.RefSeq.faa	Clostridium sp. 12(A)
1163670.3.RefSeq.faa	Bacteroides sp. 14(A)
981325.3.RefSeq.faa	Acinetobacter genomosp. 13TU str. NCTC 8102
981324.3.RefSeq.faa	Acinetobacter bereziniae LMG 1003
1157472.3.RefSeq.faa	Enterococcus faecium VRE 108
723889.3.RefSeq.faa	Bacillus atrophaeus 1013-2
947561.3.RefSeq.faa	Yersinia enterocolitica IP2222
1328450.3.RefSeq.faa	Escherichia coli BIDMC 39
888742.3.RefSeq.faa	Neisseria bacilliformis ATCC BAA-1200
935861.3.RefSeq.faa	Bordetella petrii J51
1306409.3.RefSeq.faa	Clostridium butyricum DKU-01
1157476.3.RefSeq.faa	Enterococcus faecium UAA909
543728.3.RefSeq.faa	Variovorax paradoxus S110
1422498.3.RefSeq.faa	Staphylococcus aureus VET0198R
981220.3.RefSeq.faa	Helicobacter pylori NQ1671
981221.3.RefSeq.faa	Helicobacter pylori NQ4191
1337888.4.RefSeq.faa	Geobacillus kaustophilus GBlys
1422363.3.RefSeq.faa	Staphylococcus aureus DAR5811
1422362.3.RefSeq.faa	Staphylococcus aureus DAR5812
1422361.3.RefSeq.faa	Staphylococcus aureus DAR5813
1422360.3.RefSeq.faa	Staphylococcus aureus DAR5814
1422495.3.RefSeq.faa	Staphylococcus aureus VET0195R
1422366.3.RefSeq.faa	Staphylococcus aureus DAR5807
1422497.3.RefSeq.faa	Staphylococcus aureus VET0197R
1422364.3.RefSeq.faa	Staphylococcus aureus DAR5809
1229518.3.RefSeq.faa	Lactococcus garvieae Tac2
754025.3.RefSeq.faa	Staphylococcus aureus subsp. aureus MRSA131
754026.3.RefSeq.faa	Staphylococcus aureus subsp. aureus MRSA177
754027.3.RefSeq.faa	Treponema phagedenis F0421
1150599.3.RefSeq.faa	Mycobacterium phlei RIVM601174
219305.4.RefSeq.faa	Micromonospora sp. ATCC 39149
1151360.4.RefSeq.faa	Clostridium difficile DA00306
1294028.3.RefSeq.faa	Tropheryma whipplei str. Dig7
521098.5.RefSeq.faa	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
1409675.3.RefSeq.faa	Staphylococcus aureus COAS6095
1151367.4.RefSeq.faa	Clostridium difficile F253
1344988.4.RefSeq.faa	Staphylococcus epidermidis WI05
1151364.4.RefSeq.faa	Clostridium difficile F152
700015.3.RefSeq.faa	Coriobacterium glomerans PW2
1425335.3.RefSeq.faa	Listeria monocytogenes Lm_1880
1118054.3.RefSeq.faa	Brevibacillus sp. phR
1409452.3.RefSeq.faa	Staphylococcus aureus AGEN6033
1413596.3.RefSeq.faa	Staphylococcus aureus 47P9
1409450.3.RefSeq.faa	Staphylococcus aureus FVRH6002
1409451.3.RefSeq.faa	Staphylococcus aureus SMMC6097
1409456.3.RefSeq.faa	Staphylococcus aureus SJOS6003
190485.4.RefSeq.faa	Xanthomonas campestris pv. campestris str. ATCC 33913
1409454.3.RefSeq.faa	Staphylococcus aureus HOAG6084
1409455.3.RefSeq.faa	Staphylococcus aureus OCMM6052
452471.5.RefSeq.faa	Candidatus Amoebophilus asiaticus 5a2
1409458.3.RefSeq.faa	Staphylococcus aureus SJOS6001
1409459.3.RefSeq.faa	Staphylococcus aureus SJOS6004
1032480.4.RefSeq.faa	Microlunatus phosphovorus NM-1
1053189.3.RefSeq.faa	Bacillus cereus BAG5X1-1
1053188.3.RefSeq.faa	Bacillus cereus BAG5O-1
38504.5.RefSeq.faa	Ureaplasma parvum serovar 3 SV3F4
1053183.3.RefSeq.faa	Bacillus cereus BAG3X2-1
1053182.3.RefSeq.faa	Bacillus cereus BAG3O-2
1053181.3.RefSeq.faa	Bacillus cereus BAG2X1-3
1154928.3.RefSeq.faa	Streptococcus agalactiae GB00654
1053187.3.RefSeq.faa	Bacillus cereus BAG4X2-1
1053186.3.RefSeq.faa	Bacillus cereus BAG4X12-1
1053185.3.RefSeq.faa	Bacillus cereus BAG4O-1
1090945.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Enteritidis str. 50-3079
1384063.4.RefSeq.faa	Ruminococcus gnavus AGR2154
1154927.3.RefSeq.faa	Streptococcus agalactiae GB00653
1235801.4.RefSeq.faa	Lactobacillus murinus ASF361
465543.3.RefSeq.faa	Streptomyces sp. SPB74
870187.4.RefSeq.faa	Thiothrix nivea DSM 5205
1169400.3.RefSeq.faa	Escherichia coli KTE174
1169401.3.RefSeq.faa	Escherichia coli KTE176
1169402.3.RefSeq.faa	Escherichia coli KTE177
1169403.3.RefSeq.faa	Escherichia coli KTE179
1169404.3.RefSeq.faa	Escherichia coli KTE180
565034.3.RefSeq.faa	Brachyspira hyodysenteriae WA1
1410841.3.RefSeq.faa	Staphylococcus aureus F80381
1410840.3.RefSeq.faa	Staphylococcus aureus F80358
1169408.3.RefSeq.faa	Staphylococcus aureus subsp. aureus PSP1996
1169409.3.RefSeq.faa	Pasteurella multocida subsp. gallicida P1059
1169287.3.RefSeq.faa	Enterococcus faecalis T12
406558.6.RefSeq.faa	Streptococcus pneumoniae SP9-BS68
1410849.3.RefSeq.faa	Staphylococcus aureus H45765
1410848.3.RefSeq.faa	Staphylococcus aureus H45755
1297581.3.RefSeq.faa	Anoxybacillus flavithermus AK1
1392018.3.RefSeq.faa	Staphylococcus aureus M0991
1297584.3.RefSeq.faa	Citrobacter freundii GTC 09629
513052.3.RefSeq.faa	Burkholderia multivorans CGD2
513053.3.RefSeq.faa	Burkholderia multivorans CGD2M
513051.3.RefSeq.faa	Burkholderia multivorans CGD1
1410644.3.RefSeq.faa	Bifidobacterium adolescentis DSM 20087
1157361.3.RefSeq.faa	Enterococcus faecalis B3031
1392017.3.RefSeq.faa	Staphylococcus aureus M0989
264199.4.RefSeq.faa	Streptococcus thermophilus LMG 18311
1392016.3.RefSeq.faa	Staphylococcus aureus M0988
1321366.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Saintpaul str. S-70
1410646.3.RefSeq.faa	Bifidobacterium merycicum DSM 6492
1392015.3.RefSeq.faa	Staphylococcus aureus M0987
1392014.3.RefSeq.faa	Staphylococcus aureus M0985
1052585.4.RefSeq.faa	Bacillus subtilis subsp. spizizenii TU-B-10
1052588.4.RefSeq.faa	Bacillus subtilis subsp. subtilis str. RO-NN-1
1392013.3.RefSeq.faa	Staphylococcus aureus M0984
1495334.3.RefSeq.faa	Cellulophaga sp. E6(2014)
1234142.3.RefSeq.faa	Listeria monocytogenes N53-1
1409530.3.RefSeq.faa	Staphylococcus aureus KINW6010
479433.5.RefSeq.faa	Catenulispora acidiphila DSM 44928
1074175.3.RefSeq.faa	Streptococcus mutans TCI-256
479431.6.RefSeq.faa	Nakamurella multipartita DSM 44233
479437.5.RefSeq.faa	Eggerthella lenta DSM 2243
1392011.3.RefSeq.faa	Staphylococcus aureus M0982
479435.6.RefSeq.faa	Kribbella flavida DSM 17836
757417.4.RefSeq.faa	Mycobacterium tuberculosis H37RvAE
1201039.3.RefSeq.faa	Bacillus subtilis Hal1
757419.3.RefSeq.faa	Mycobacterium tuberculosis H37RvCO
1392010.3.RefSeq.faa	Staphylococcus aureus M0981
1154850.3.RefSeq.faa	Streptococcus agalactiae STIR-CD-22
1123250.4.RefSeq.faa	Selenomonas bovis DSM 23594
1206741.4.RefSeq.faa	Nocardia concava NBRC 100430
205922.5.RefSeq.faa	Pseudomonas fluorescens Pf0-1
1206740.4.RefSeq.faa	Nocardia thailandica NBRC 100428
292805.6.RefSeq.faa	Wolbachia endosymbiont strain TRS of Brugia malayi
871541.3.RefSeq.faa	Actinomyces oris K20
1206742.4.RefSeq.faa	Nocardia vinacea NBRC 16497
591001.3.RefSeq.faa	Acidaminococcus fermentans DSM 20731
1413597.3.RefSeq.faa	Staphylococcus aureus 08134-6
479436.6.RefSeq.faa	Veillonella parvula DSM 2008
1409539.3.RefSeq.faa	Staphylococcus aureus SJUD6041
913337.3.RefSeq.faa	Nitrospina sp. SCGC AAA288-L16
339670.8.RefSeq.faa	Burkholderia ambifaria AMMD
339671.7.RefSeq.faa	Actinobacillus succinogenes 130Z
1409538.3.RefSeq.faa	Staphylococcus aureus SCLE6010
871587.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Montevideo str. MB101509-0077
871586.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Montevideo str. 556152
871585.3.RefSeq.faa	Acinetobacter calcoaceticus PHEA-2
1223545.3.RefSeq.faa	Gordonia soli NBRC 108243
1105102.4.RefSeq.faa	Rickettsia rickettsii str. Colombia
1343079.4.RefSeq.faa	Burkholderia pseudomallei MSHR338
883120.3.RefSeq.faa	Klebsiella oxytoca 10-5245
883121.3.RefSeq.faa	Klebsiella oxytoca 10-5246
883123.3.RefSeq.faa	Klebsiella oxytoca 10-5248
883125.3.RefSeq.faa	Klebsiella oxytoca 10-5250
871589.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Montevideo str. MB110209-0055
871588.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Montevideo str. MB102109-0047
1439042.3.RefSeq.faa	Streptococcus pyogenes ABC020025676
1069622.3.RefSeq.faa	Neisseria meningitidis NM3001
1069621.3.RefSeq.faa	Neisseria meningitidis NM3081
1069620.3.RefSeq.faa	Neisseria meningitidis NM2795
1069627.3.RefSeq.faa	Streptococcus pneumoniae GA04672
1439047.3.RefSeq.faa	Streptococcus pyogenes ABC020026799
1069625.3.RefSeq.faa	Streptococcus pneumoniae England14-9
1069624.3.RefSeq.faa	Streptococcus pneumoniae GA04216
1439048.3.RefSeq.faa	Streptococcus pyogenes ABC020026946
1069628.3.RefSeq.faa	Streptococcus pneumoniae GA08825
1004151.3.RefSeq.faa	Photorhabdus temperata subsp. khanii NC19
1117315.3.RefSeq.faa	Pseudoalteromonas haloplanktis ATCC 14393
1446530.3.RefSeq.faa	Escherichia coli O111:NM str. 2011C-3573
1446531.3.RefSeq.faa	Escherichia coli O111:NM str. 2011C-3632
1446532.3.RefSeq.faa	Escherichia coli O111:NM str. 2011C-3679
1446533.3.RefSeq.faa	Escherichia coli O111:NM str. K6722
1446534.3.RefSeq.faa	Escherichia coli O111:NM str. K6723
1446535.3.RefSeq.faa	Escherichia coli O111:NM str. K6728
1341154.3.RefSeq.faa	Flavobacterium cauense R2A-7
1341155.3.RefSeq.faa	Flavobacterium saliperosum S13
1446538.3.RefSeq.faa	Escherichia coli O111:NM str. K6897
1446539.3.RefSeq.faa	Escherichia coli O111:NM str. K6898
1095660.3.RefSeq.faa	Vibrio cholerae O1 str. 95412
1288394.3.RefSeq.faa	Aeromonas hydrophila ML09-119
1095662.3.RefSeq.faa	Vibrio cholerae O1 str. 116063
1388343.3.RefSeq.faa	Staphylococcus aureus M0519
1388344.3.RefSeq.faa	Staphylococcus aureus M0520
1095665.3.RefSeq.faa	Neisseria meningitidis 63006
1095666.3.RefSeq.faa	Neisseria meningitidis 70030
1095667.3.RefSeq.faa	Neisseria meningitidis 77221
1095668.3.RefSeq.faa	Neisseria meningitidis 2001212
1095669.3.RefSeq.faa	Neisseria meningitidis 2007056
1418299.3.RefSeq.faa	Staphylococcus aureus H15911
702443.3.RefSeq.faa	Bacteroides ovatus SD CMC 3f
1105100.3.RefSeq.faa	Rickettsia rickettsii str. Hino
1418296.3.RefSeq.faa	Staphylococcus aureus F80972
945360.3.RefSeq.faa	Shigella flexneri CDC 796-83
1418297.3.RefSeq.faa	Staphylococcus aureus H12662
1402646.3.RefSeq.faa	Staphylococcus aureus M1132
1408462.3.RefSeq.faa	Mycoplasma felis ATCC 23391
702444.3.RefSeq.faa	Bacteroides xylanisolvens SD CC 2a [PRJNA42771]
1284663.3.RefSeq.faa	Lactobacillus plantarum ZJ316
702447.3.RefSeq.faa	Bacteroides xylanisolvens SD CC 1b
1445611.3.RefSeq.faa	Mycobacterium smegmatis MC2 51
652620.3.RefSeq.faa	Rickettsia japonica YH
1418293.3.RefSeq.faa	Staphylococcus aureus F59335
1302650.3.RefSeq.faa	Bacillus subtilis subsp. subtilis str. BAB-1
1157367.3.RefSeq.faa	Enterococcus faecalis B939
984892.3.RefSeq.faa	Staphylococcus pseudintermedius ED99
869308.3.RefSeq.faa	Streptococcus pneumoniae SPN021198
984894.3.RefSeq.faa	Chlamydophila psittaci Cal10
56780.15.RefSeq.faa	Syntrophus aciditrophicus SB
1402649.3.RefSeq.faa	Staphylococcus aureus M1136
220668.9.RefSeq.faa	Lactobacillus plantarum WCFS1
1402647.3.RefSeq.faa	Staphylococcus aureus M1134
1074161.3.RefSeq.faa	Streptococcus mutans TCI-220
2035.5.RefSeq.faa	Curtobacterium flaccumfaciens MEB126
667015.3.RefSeq.faa	Bacteroides salanitronis DSM 18170
696125.3.RefSeq.faa	Bartonella clarridgeiae 73
484019.4.RefSeq.faa	Thermosipho africanus TCF52B
869306.4.RefSeq.faa	Streptococcus pneumoniae SPN994038
484018.6.RefSeq.faa	Bacteroides plebeius DSM 17135
374927.4.RefSeq.faa	Haemophilus influenzae 22.1-21
1232673.3.RefSeq.faa	Aeromonas hydrophila SNUFPC-A8
1312367.3.RefSeq.faa	Proteus hauseri ZMd44
882102.3.RefSeq.faa	Vibrio anguillarum 775
1232675.3.RefSeq.faa	Micrococcus luteus str. modasa
1105105.4.RefSeq.faa	Rickettsia rickettsii str. Arizona
314261.5.RefSeq.faa	Candidatus Pelagibacter ubique HTCC1002
374928.4.RefSeq.faa	Haemophilus influenzae PittAA
1122618.3.RefSeq.faa	Oenococcus oeni DSM 20252 = AWRIB129
1122619.3.RefSeq.faa	Oligella ureolytica DSM 18253
1411021.3.RefSeq.faa	Tannerella sp. oral taxon BU063 isolate Cell 6/7/9
1122610.3.RefSeq.faa	Nocardioides insulae DSM 17944
430066.4.RefSeq.faa	Brucella abortus S19
1122616.3.RefSeq.faa	Oceanospirillum beijerinckii DSM 7166
1122617.3.RefSeq.faa	Oceanospirillum maris DSM 6286
656393.3.RefSeq.faa	Escherichia coli H299
1417042.3.RefSeq.faa	Staphylococcus aureus F63787
656390.3.RefSeq.faa	Escherichia coli H263
192222.6.RefSeq.faa	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
1398007.3.RefSeq.faa	Staphylococcus aureus M1383
314266.4.RefSeq.faa	Sphingomonas sp. SKA58
656398.3.RefSeq.faa	Escherichia coli H397
1417040.3.RefSeq.faa	Staphylococcus aureus F63704
390236.17.RefSeq.faa	Borrelia afzelii PKo
1214203.3.RefSeq.faa	Streptococcus suis YS44
1214202.3.RefSeq.faa	Streptococcus suis YS43
1214201.3.RefSeq.faa	Streptococcus suis YS4
1398005.3.RefSeq.faa	Staphylococcus aureus M1380
1214207.3.RefSeq.faa	Streptococcus suis YS53
1214206.3.RefSeq.faa	Streptococcus suis YS50
1214205.3.RefSeq.faa	Streptococcus suis YS49
1214204.3.RefSeq.faa	Streptococcus suis YS46
1417046.3.RefSeq.faa	Staphylococcus aureus T74005
1214209.3.RefSeq.faa	Streptococcus suis YS56
1214208.3.RefSeq.faa	Streptococcus suis YS54-2
1313421.4.RefSeq.faa	Aureispira sp. CCB-QB1
765057.3.RefSeq.faa	Propionibacterium acnes HL096PA3
1398003.3.RefSeq.faa	Staphylococcus aureus M1378
1438719.3.RefSeq.faa	Klebsiella pneumoniae CHS 13
1438718.3.RefSeq.faa	Klebsiella pneumoniae CHS 12
1158666.3.RefSeq.faa	Enterococcus faecalis Pan7
1417044.3.RefSeq.faa	Staphylococcus aureus M29068
314267.6.RefSeq.faa	Sulfitobacter sp. NAS-14.1
1438711.3.RefSeq.faa	Klebsiella pneumoniae CHS 05
1438713.3.RefSeq.faa	Klebsiella pneumoniae CHS 07
1438712.3.RefSeq.faa	Klebsiella pneumoniae CHS 06
1438715.3.RefSeq.faa	Klebsiella pneumoniae CHS 09
1438714.3.RefSeq.faa	Klebsiella pneumoniae CHS 08
1438717.3.RefSeq.faa	Klebsiella pneumoniae CHS 11
441772.13.RefSeq.faa	Clostridium botulinum F str. Langeland
1265650.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Agona str. 21.H.10
1265651.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Agona str. 37.F.02
1407463.3.RefSeq.faa	Helicobacter pylori BM012S
1407462.3.RefSeq.faa	Helicobacter pylori BM012A
1265654.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Agona str. 47.E.09
1265655.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Agona str. 52.F.08
1265656.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Agona str. 57.A.08
394.7.RefSeq.faa	Sinorhizobium fredii NGR234
1265658.4.RefSeq.faa	Salmonella enterica subsp. enterica serovar Agona str. 09.F.08
1265659.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Agona str. 14.E.05
314280.5.RefSeq.faa	Photobacterium profundum 3TCK
441770.6.RefSeq.faa	Clostridium botulinum A str. ATCC 19397
754256.7.RefSeq.faa	Actinobacillus pleuropneumoniae serovar 6 str. Femo (Prj:51539)
754255.3.RefSeq.faa	Actinobacillus pleuropneumoniae serovar 4 str. M62
754254.4.RefSeq.faa	Actinobacillus pleuropneumoniae serovar 2 str. 4226
765068.3.RefSeq.faa	Propionibacterium acnes HL045PA1
765069.3.RefSeq.faa	Propionibacterium acnes HL013PA1
1299325.4.RefSeq.faa	Mycobacterium abscessus subsp. bolletii 103
1299324.3.RefSeq.faa	Mycobacterium abscessus 21
1688.3.RefSeq.faa	Bifidobacterium cuniculi
314264.4.RefSeq.faa	Roseovarius sp. 217
1299321.3.RefSeq.faa	Mycobacterium massiliense 1513
1175632.3.RefSeq.faa	Mycobacterium abscessus M139
1215914.3.RefSeq.faa	Lactobacillus casei W56
765063.3.RefSeq.faa	Propionibacterium acnes HL099PA1
765064.3.RefSeq.faa	Propionibacterium acnes HL097PA1
765065.3.RefSeq.faa	Propionibacterium acnes HL020PA1
765066.3.RefSeq.faa	Propionibacterium acnes HL053PA1
765067.3.RefSeq.faa	Propionibacterium acnes HL053PA2
1413543.3.RefSeq.faa	Staphylococcus aureus 22(2K81-5)
1413542.3.RefSeq.faa	Staphylococcus aureus Rd.60
1413541.3.RefSeq.faa	Staphylococcus aureus Rd.51
1227813.3.RefSeq.faa	Escherichia coli S17
670.181.RefSeq.faa	Vibrio parahaemolyticus S155
670.182.RefSeq.faa	Vibrio parahaemolyticus S156
1413545.3.RefSeq.faa	Staphylococcus aureus 25(2889)
1074486.3.RefSeq.faa	Klebsiella pneumoniae 1191100241
670.177.RefSeq.faa	Vibrio parahaemolyticus S151
670.178.RefSeq.faa	Vibrio parahaemolyticus S152
670.179.RefSeq.faa	Vibrio parahaemolyticus S153
670.180.RefSeq.faa	Vibrio parahaemolyticus S154
670.173.RefSeq.faa	Vibrio parahaemolyticus S146
1408887.3.RefSeq.faa	Brucella canis str. Oliveri
670.175.RefSeq.faa	Vibrio parahaemolyticus S148
670.176.RefSeq.faa	Vibrio parahaemolyticus S150
1412764.3.RefSeq.faa	Staphylococcus aureus M77210
1412765.3.RefSeq.faa	Staphylococcus aureus M77225
1418302.3.RefSeq.faa	Staphylococcus aureus H19404
1412767.3.RefSeq.faa	Staphylococcus aureus M77238
1412760.3.RefSeq.faa	Staphylococcus aureus M16586
1412761.3.RefSeq.faa	Staphylococcus aureus M16597
1412762.3.RefSeq.faa	Staphylococcus aureus M20180
527001.3.RefSeq.faa	Salmonella enterica subsp. enterica serovar Typhi str. Ty21a
1418308.3.RefSeq.faa	Staphylococcus aureus H43694
1418309.3.RefSeq.faa	Staphylococcus aureus H43700
1413531.3.RefSeq.faa	Staphylococcus aureus GD2010-131
1412768.3.RefSeq.faa	Staphylococcus aureus M80979
1412769.3.RefSeq.faa	Staphylococcus aureus M80992
1225189.3.RefSeq.faa	Streptococcus mutans B12Sm1
486620.3.RefSeq.faa	Bacillus anthracis str. A0465
1400804.3.RefSeq.faa	Enterococcus faecalis MN16
486621.3.RefSeq.faa	Bacillus anthracis str. A0442
1388726.3.RefSeq.faa	Staphylococcus aureus M0966
1400805.3.RefSeq.faa	Enterococcus faecalis MTUP9
1256196.3.RefSeq.faa	Lactobacillus paracasei subsp. paracasei Lpp219
486622.3.RefSeq.faa	Bacillus anthracis str. A0174
1388727.3.RefSeq.faa	Staphylococcus aureus M0967
1281199.3.RefSeq.faa	Escherichia coli UMEA 3161-1
1281198.3.RefSeq.faa	Escherichia coli UMEA 3160-1
670.187.RefSeq.faa	Vibrio parahaemolyticus S161
445970.5.RefSeq.faa	Alistipes putredinis DSM 17216
1005452.3.RefSeq.faa	Escherichia coli 5.2239
1281190.3.RefSeq.faa	Escherichia coli UMEA 3140-1
1281193.3.RefSeq.faa	Escherichia coli UMEA 3150-1
1281192.3.RefSeq.faa	Escherichia coli UMEA 3148-1
1281195.3.RefSeq.faa	Escherichia coli UMEA 3152-1
1281194.3.RefSeq.faa	Escherichia coli UMEA 3151-1
1281197.3.RefSeq.faa	Escherichia coli UMEA 3159-1
1005455.3.RefSeq.faa	Escherichia coli 6.0172
1422802.3.RefSeq.faa	Staphylococcus aureus VET1816S
1422803.3.RefSeq.faa	Staphylococcus aureus VET1817S
1422800.3.RefSeq.faa	Staphylococcus aureus VET1738S
1276653.3.RefSeq.faa	Klebsiella pneumoniae 700603
1422806.3.RefSeq.faa	Staphylococcus aureus VET1918S
1413538.3.RefSeq.faa	Staphylococcus aureus Rd.3
1422804.3.RefSeq.faa	Staphylococcus aureus VET1822S
1422805.3.RefSeq.faa	Staphylococcus aureus VET1917S
1074153.3.RefSeq.faa	Streptococcus mutans TCI-201
